US,39609
CN,8848
BR,6966
ZA,6692
JP,6507
ES,5015
IT,4090
AR,4081
UG,3962
CA,3572
GB,3139
TH,3124
ZM,2361
IN,2344
RU,2312
CM,2146
FR,1980
VN,1841
MX,1700
DE,1474
KE,1467
CZ,1462
MW,1310
TZ,1282
CU,1152
CH,1129
BW,1105
KR,1089
NG,1078
BE,1059
PL,1012
DK,993
PT,897
AU,895
SE,809
SN,789
MY,738
TW,732
VE,668
RO,641
MZ,625
NL,576
HN,568
GH,482
BF,409
CI,374
BI,364
SG,363
RW,362
ML,353
MA,333
PE,318
KZ,307
CY,307
HK,306
ZW,300
ET,288
AO,286
MM,285
LU,266
TG,260
BY,254
PH,247
IR,242
GR,230
CD,227
JM,225
GA,212
SV,209
UA,202
RS,198
DZ,193
CF,178
SI,174
TR,170
LV,165
CL,162
DO,161
BJ,158
CV,156
UZ,152
AT,147
PA,140
KH,139
PK,126
CG,125
NO,118
LR,110
AM,92
FI,92
CO,91
GL,80
GQ,73
TT,68
AL,66
KG,60
MR,54
SK,49
GE,48
SZ,47
NP,43
TD,43
AZ,41
SC,39
LT,34
LY,34
ME,32
ID,31
HU,30
SD,30
BB,27
UY,26
LB,25
YE,24
PR,24
DJ,24
MG,23
HT,21
AF,15
BS,14
GN,13
PY,12
EE,11
BZ,11
MN,10
IL,9
AG,8
GW,7
IE,6
GY,6
VC,6
MD,6
SA,6
SR,5
LC,5
GM,5
EC,4
GD,4
NE,3
BO,3
DM,3
ER,2
SO,2
BG,2
MO,1
FJ,1
MS,1
