,accession,country,name,subtype,year
0,K03455,FR,HXB2-LAI-IIIB-BRU,B,1983
1,A04321,FR,IIIB_LAI,B,1983
2,A07108,CD,ELI_patent,D,1983
3,A07116,CD,MAL_patent,A1DK,1985
4,A07867,FR,LAI-J19,B,1983
5,A14116,CD,ELI_patent,D,1983
6,A34828,CD,NDK_patent,D,1983
7,AB023804,IN,93IN101,C,1993
8,AB032740,TH,95TNIH022,01_AE,1995
9,AB032741,TH,95TNIH047,01_AE,1995
10,AB049811,GH,97GH-AG1,02_AG,1997
11,AB052867,GH,97GH-AG2,02A1,1997
12,AB052995,JP,93JP_NH1,01_AE,1993
13,AB070352,JP,NH25_93JPNH25T_93JP_NH2_5T,01_AE,1993
14,AB078005,US,ARES2,B,1997
15,AB097865,MM,mIDU502,01B,2000
16,AB097866,MM,mCSW503,01BC,2000
17,AB097867,MM,mCSW104,01B,1999
18,AB097868,MM,mIDU107,01BC,1999
19,AB097869,MM,mIDU106,BC,1999
20,AB097870,MM,mSTD101,B,1999
21,AB097871,MM,mIDU101_3,C,1999
22,AB097872,MM,mCSW105,01A1,1999
23,AB097873,MM,mIDU103,BC,1999
24,AB098330,UG,UG031,A1,
25,AB098331,UG,UG031,A1,
26,AB098332,UG,UG029,A1,1992
27,AB098333,UG,UG029,A1,1992
28,AB220944,TH,93TH051,01_AE,1993
29,AB220945,TH,93TH054,01_AE,1993
30,AB220946,TH,93TH060,01_AE,1993
31,AB220947,TH,93TH062,01_AE,1993
32,AB220948,TH,93TH065,01_AE,1993
33,AB221005,US,Ba_L,B,1985
34,AB221125,JP,04JPDR6075B,B,2004
35,AB221126,JP,04JPDR6075B,B,2004
36,AB231893,GH,GHNJ175,G,2003
37,AB231894,GH,GHNJ176,02A1,2003
38,AB231895,GH,GHNJ185,02_AG,2003
39,AB231896,GH,GHNJ188,02_AG,2003
40,AB231897,GH,GHNJ193,02D,2003
41,AB231898,GH,GHNJ196,02_AG,2003
42,AB253421,RW,92RW008,A1,1992
43,AB253422,RW,92RW008,A1,1992
44,AB253423,JP,DR0492,01_AE,
45,AB253424,TH,93TH057,01_AE,1993
46,AB253425,TH,93TH057,01_AE,1993
47,AB253426,JP,DR6824,01_AE,
48,AB253427,JP,DR6824,01_AE,
49,AB253428,UG,92UG037_A35,A1,1992
50,AB253429,UG,92UG037_A40,A1,1992
51,AB253430,JP,DR0769,BF1,
52,AB253431,JP,DR0769,BF1,
53,AB253432,US,Ba_L,B,1985
54,AB253635,JP,DR1741,01_AE,
55,AB253636,JP,DR1741,01_AE,
56,AB253637,JP,DR1741,01_AE,
57,AB253638,JP,DR1741,01_AE,
58,AB253639,JP,DR1741,01_AE,
59,AB253640,JP,DR1741,01_AE,
60,AB253641,JP,DR1741,01_AE,
61,AB253642,JP,DR1741,01_AE,
62,AB253643,JP,DR1741,01_AE,
63,AB253644,JP,DR1741,01_AE,
64,AB253645,JP,DR1741,01_AE,
65,AB253646,JP,DR1741,01_AE,
66,AB253647,JP,DR1873,01_AE,
67,AB253648,JP,DR1873,01_AE,
68,AB253649,JP,DR1873,01_AE,
69,AB253650,JP,DR1873,01_AE,
70,AB253651,JP,DR1873,01_AE,
71,AB253652,JP,DR1873,01_AE,
72,AB253653,JP,DR1873,01_AE,
73,AB253654,JP,DR1873,01_AE,
74,AB253655,JP,DR1873,01_AE,
75,AB253656,JP,DR1873,01_AE,2000
76,AB253657,JP,DR1873,01_AE,
77,AB253658,JP,DR1873,01_AE,
78,AB253659,JP,DR2594,01_AE,
79,AB253660,JP,DR2594,01_AE,
80,AB253661,JP,DR2594,01_AE,
81,AB253662,JP,DR2594,01_AE,
82,AB253663,JP,DR2594,01_AE,
83,AB253664,JP,DR2594,01_AE,
84,AB253665,JP,DR2594,01_AE,
85,AB253666,JP,DR2594,01_AE,
86,AB253667,JP,DR2594,01_AE,
87,AB253668,JP,DR2594,01_AE,
88,AB253669,JP,DR3730,01_AE,
89,AB253670,JP,DR3730,01_AE,
90,AB253671,JP,DR3730,01_AE,
91,AB253672,JP,DR3730,01_AE,
92,AB253673,JP,DR3730,01_AE,
93,AB253674,JP,DR3730,01_AE,
94,AB253675,JP,DR3730,01_AE,
95,AB253676,JP,DR3730,01_AE,
96,AB253677,JP,DR3730,01_AE,
97,AB253678,JP,DR3730,01_AE,
98,AB253679,JP,DR3730,01_AE,
99,AB253680,JP,DR3730,01_AE,
100,AB253681,JP,DR0492,01_AE,
101,AB253682,JP,DR0492,01_AE,
102,AB253683,JP,DR0492,01_AE,
103,AB253684,JP,DR0492,01_AE,
104,AB253685,JP,DR0492,01_AE,
105,AB253686,JP,DR0492,01_AE,
106,AB253687,JP,DR0492,01_AE,
107,AB253688,JP,DR0492,01_AE,
108,AB253689,JP,DR0492,01_AE,
109,AB253690,JP,DR0492,01_AE,
110,AB253691,JP,DR0492,01_AE,
111,AB253692,JP,DR1236,01_AE,
112,AB253693,JP,DR1236,01_AE,
113,AB253694,JP,DR1236,01_AE,
114,AB253695,JP,DR1236,01_AE,
115,AB253696,JP,DR1236,01_AE,
116,AB253697,JP,DR1236,01_AE,
117,AB253698,JP,DR1236,01_AE,
118,AB253699,JP,DR1236,01_AE,
119,AB253700,JP,DR1236,01_AE,
120,AB253701,JP,DR1236,01_AE,
121,AB253702,JP,DR1236,01_AE,
122,AB253703,JP,DR2192,01_AE,
123,AB253704,JP,DR2192,01_AE,
124,AB253705,JP,DR2192,01_AE,
125,AB253706,JP,DR2192,01_AE,
126,AB253707,JP,DR2192,01_AE,
127,AB253708,JP,DR2192,01_AE,
128,AB253709,JP,DR2192,01_AE,
129,AB253710,JP,DR2192,01_AE,
130,AB253711,JP,DR2192,01_AE,
131,AB253712,JP,DR2192,01_AE,
132,AB253713,JP,DR2192,01_AE,
133,AB253714,JP,DR2192,01_AE,
134,AB253715,JP,DR2192,01_AE,
135,AB253716,JP,DR2192,01_AE,
136,AB253717,JP,DR5032,01_AE,
137,AB253718,JP,DR5032,01_AE,
138,AB253719,JP,DR5032,01_AE,
139,AB253720,JP,DR5032,01_AE,
140,AB253721,JP,DR5032,01_AE,
141,AB253722,JP,DR5032,01_AE,
142,AB253723,JP,DR5032,01_AE,
143,AB253724,JP,DR5032,01_AE,
144,AB253725,JP,DR5032,01_AE,
145,AB254141,ZM,02ZM108,C,2002
146,AB254142,ZM,02ZM110,C,2002
147,AB254143,ZM,02ZM112,C,2002
148,AB254144,ZM,02ZM112,C,2002
149,AB254145,ZM,02ZM112,C,2002
150,AB254146,ZM,02ZM114,C,2002
151,AB254147,ZM,02ZM114,C,2002
152,AB254148,ZM,02ZM115,C,2002
153,AB254149,ZM,02ZMBC,C,2002
154,AB254150,ZM,02ZMDB,C,2002
155,AB254151,ZM,02ZMDB,C,2002
156,AB254152,ZM,02ZMDB,C,2002
157,AB254153,ZM,02ZMDB,C,2002
158,AB254154,ZM,02ZMDB,C,2002
159,AB254155,ZM,02ZMJC,C,2002
160,AB254156,ZM,02ZMJM,C,2002
161,AB286849,JP,DR5782,CU,2004
162,AB286850,JP,DR5782,CU,2004
163,AB286851,GH,03GH173_06,06_cpx,2003
164,AB286852,GH,03GH173_06,06_cpx,2003
165,AB286853,GH,03GH195AG_06,0206,2003
166,AB286854,GH,03GH195AG_06,0206,2003
167,AB286855,GH,03GH181AG,02_AG,2003
168,AB286856,GH,03GH181AG,02_AG,2003
169,AB286857,GH,03GH182AG,02_AG,2003
170,AB286858,GH,03GH182AG,02_AG,2003
171,AB286859,GH,03GH184AG,02_AG,2003
172,AB286860,GH,03GH184AG,02_AG,2003
173,AB286862,GH,03GH189AG,02_AG,2003
174,AB286863,GH,03GH197AG,02_AG,2003
175,AB286864,GH,03GH197AG,02_AG,2003
176,AB286955,JP,DR6089,B,2004
177,AB286956,JP,DR6089,B,2004
178,AB287003,GH,03GH175G,G,2003
179,AB287004,GH,03GH175G,G,2003
180,AB287363,JP,DR6538,B,2005
181,AB287364,JP,DR6737,B,2005
182,AB287365,JP,DR6737,B,2005
183,AB287366,JP,DR7060,B,2005
184,AB287367,JP,DR7060,B,2005
185,AB287368,JP,DR7065,B,2005
186,AB287369,JP,DR1348,B,1999
187,AB287370,JP,DR1348,B,1999
188,AB287371,JP,DR2510,B,2000
189,AB287372,JP,DR2510,B,2000
190,AB287376,RW,92RW025A,A1,1992
191,AB287377,RW,92RW025A,A1,1992
192,AB287378,RW,93RW037A,A1,1993
193,AB287379,RW,93RW037A,A1,1993
194,AB289587,JP,DR2508,B,2000
195,AB289588,JP,DR2508,B,2000
196,AB289589,JP,DR388,B,2001
197,AB289590,JP,DR388,B,2001
198,AB428551,JP,117,B,2000
199,AB428552,JP,134,B,2001
200,AB428553,JP,194,B,2002
201,AB428554,JP,197,B,2002
202,AB428555,JP,227,B,2003
203,AB428556,JP,426,B,2005
204,AB428557,JP,436,B,2005
205,AB428558,JP,285,B,2003
206,AB428559,JP,329,B,2004
207,AB428560,JP,398,B,2005
208,AB428561,JP,472,B,2006
209,AB428562,JP,574,B,2006
210,AB480044,GH,p03GH194AG09,02D,2003
211,AB480045,GH,p03GH194AG29,02D,2003
212,AB480046,GH,p03GH194AG48,02D,2003
213,AB480047,GH,p03GH179AG_G02,02G,2003
214,AB480048,GH,p03GH179AG_G29,02G,2003
215,AB480298,JP,DR6082,BF1,2004
216,AB480299,JP,DR6082,BF1,2004
217,AB480300,JP,DR6190,BF1,2004
218,AB480301,JP,DR6190,BF1,2004
219,AB480692,JP,DR6174,B,2004
220,AB480693,JP,DR6174,B,2004
221,AB480694,JP,DR6175,B,2004
222,AB480695,JP,DR6175,B,2004
223,AB480696,JP,DR5913,B,2004
224,AB480697,JP,DR5913,B,2004
225,AB480698,JP,DR1120,B,1998
226,AB485632,UG,UG275,A1,
227,AB485633,GH,I_2496,02_AG,
228,AB485634,FR,DJ263,02_AG,
229,AB485635,FR,DJ263,02_AG,
230,AB485636,LR,POC44951,02_AG,
231,AB485637,LR,POC44951,02_AG,
232,AB485638,US,US2,B,1991
233,AB485639,US,US2,B,1991
234,AB485640,US,US2,B,1991
235,AB485641,BR,BZ167,B,1990
236,AB485642,BR,BZ167,B,1990
237,AB485643,DJ,DJ259,C,
238,AB485644,DJ,DJ259,C,
239,AB485645,ZM,ZAM18,C,1989
240,AB485646,ZM,ZAM18,C,1989
241,AB485647,ZM,ZAM18,C,1989
242,AB485648,SN,SE365,D,1990
243,AB485649,SN,SE365,D,1990
244,AB485650,UG,UG270,D,1991
245,AB485651,UG,UG270,D,1991
246,AB485652,ID,ID17,01_AE,1993
247,AB485653,ID,ID17,01_AE,1993
248,AB485654,TH,NP03,01_AE,
249,AB485655,TH,NP03,01_AE,
250,AB485656,BR,BZ163,F1,1990
251,AB485657,BR,BZ163,F1,1990
252,AB485658,RO,BCI_R07,F1,1996
253,AB485659,RO,BCI_R07,F1,1996
254,AB485660,CD,BCF-Dioum,06_cpx,
255,AB485661,CD,BCF-Dioum,06_cpx,
256,AB485662,KE,HH8793,G,1993
257,AB485663,KE,HH8793,G,1993
258,AB485664,CD,BCF-Kita,AGKU,
259,AB485665,CD,BCF-Kita,AGKU,
260,AB485666,CM,BCF06,O,1994
261,AB485667,CM,BCF06,O,1994
262,AB485668,US,I_2478B,O,
263,AB485669,US,I_2478B,O,
264,AB547463,ID,JKT189-C,33_01B,2007
265,AB547464,ID,JKT194-C,33_01B,2007
266,AB564744,JP,DR1673,B,
267,AB564745,JP,DR1673,B,
268,AB564746,JP,DR2735,B,
269,AB565478,JP,pJPDR0796B02,B,
270,AB565479,JP,pJPDR0796B04,B,
271,AB565495,JP,JRC03B,B,
272,AB565496,JP,JRC03B,B,
273,AB565497,JP,JRC05B,B,
274,AB565498,JP,JRC05B,B,
275,AB565499,JP,JRC53B,B,
276,AB565500,JP,JRC53B,B,
277,AB565501,JP,JRC65B,B,
278,AB565502,JP,JRC65B,B,
279,AB565503,JP,JRC77AE,01_AE,
280,AB565504,JP,JRC77AE,01_AE,
281,AB604946,JP,DR1712,B,
282,AB604947,JP,DR1712,B,
283,AB604948,JP,DR1777,B,
284,AB604949,JP,DR2735,B,
285,AB604950,JP,DR5929,B,
286,AB604951,JP,DR5929,B,
287,AB641836,JP,pJRC57B09,B,
288,AB641837,JP,pJRC57B05,B,
289,AB646289,JP,pHIV_1_Y271B01AE54,01B,
290,AB646691,JP,pHIV_1_Y271B01AE64,01B,
291,THR01F,IR,10IR,35_AD,2010
292,THR09F,IR,10IR,35_AD,2010
293,KSH24F,IR,11IR,35_AD,2011
294,SYZ27F,IR,11IR,35_AD,2011
295,KSH29F,IR,11IR,35_AD,2011
296,KSH31F,IR,11IR,35_AD,2011
297,SYZ33F,IR,11IR,35_AD,2011
298,SYZ38F,IR,11IR,35_AD,2011
299,THR41F,IR,10IR,35_AD,2010
300,THR48F,IR,10IR,01_AE,2010
301,AB731663,JP,NMC104_clone_01,B,2008
302,AB731664,JP,NMC104_clone_09,B,2008
303,AB731665,JP,NMC851A_clone_14,B,2009
304,AB731666,JP,NMC851A_clone_18,B,2009
305,AB731667,JP,NMC127_clone_07,B,2009
306,AB731668,JP,NMC127_clone_27,B,2009
307,AB731669,JP,NMC851C_clone_13,B,2011
308,AB731670,JP,NMC851C_clone_48,B,2011
309,AB746342,CN,p01CH-DL001_08_BC06,08_BC,2001
310,AB746343,CN,p01CH-DL001_08_BC37,08_BC,2001
311,AB746344,CN,p00CH-WS035_08_BC51,08_BC,2000
312,AB746345,CN,p00CH-WS035_08_BC52,08_BC,2000
313,AB773884,CN,p00CH-HH090_08_BC02,08_BC,2000
314,AB773885,CN,p00CH-HH090_08_BC30,08_BC,2000
315,AB873908,JP,KI_543,B,
316,AB873909,JP,KI_552,B,
317,AB873910,JP,KI_589,B,
318,AB873911,JP,KI_591,B,
319,AB873912,JP,KI_445,B,
320,AB873913,JP,KI_566,B,
321,AB873914,JP,KI_576,B,
322,AB873915,JP,KI_594,B,
323,AB873916,JP,KI_616,B,
324,AB873917,JP,KI_542,B,
325,AB873918,JP,KI_416,B,
326,AB873919,JP,KI_604,B,
327,AB873920,JP,KI_461,B,
328,AB873921,JP,KI_630,B,
329,AB873922,JP,KI_609,B,
330,AB873923,JP,KI_623,B,
331,AB873924,JP,KI_633,B,
332,AB873925,JP,KI_585,B,
333,AB873926,JP,KI_603,B,
334,AB873927,JP,KI_549,B,
335,AB873928,JP,KI_605,B,
336,AB873929,JP,KI_565,B,
337,AB873930,JP,KI_607,B,
338,AB873931,JP,KI_612,B,
339,AB873932,JP,KI_530,B,
340,AB873933,JP,KI_481,B,
341,AB873934,JP,KI_572,B,
342,AB873935,JP,KI_573,B,
343,AB873936,JP,KI_476,B,
344,AB873937,JP,KI_588,B,
345,AB873938,JP,KI_531,B,
346,AB873939,JP,KI_590,B,
347,AB873940,JP,KI_615,B,
348,AB873941,JP,KI_574,B,
349,AB873942,JP,KI_560,B,
350,AB873943,JP,KI_535,B,
351,AB873944,JP,KI_621,B,
352,AB873945,JP,KI_562,B,
353,AB873946,JP,KI_626,B,
354,AB873947,JP,KI_586,B,
355,AB873948,JP,KI_498,B,
356,AB873949,JP,KI_575,B,
357,AB873950,JP,KI_472,B,
358,AB873951,JP,KI_613,B,
359,AB873952,JP,KI_601,B,
360,AB873953,JP,KI_580,B,
361,AB873954,JP,KI_596,B,
362,AB873955,JP,KI_583,B,
363,AB873956,JP,KI_092,B,
364,AB873957,JP,KI_619,B,
365,AB873958,JP,KI_555,B,
366,AB873959,JP,KI_570,B,
367,AB873960,JP,KI_538,B,
368,AB873961,JP,KI_627,B,
369,AB873962,JP,KI_587,B,
370,AB873963,JP,KI_556,B,
371,AB873964,JP,KI_108,B,
372,AB873965,JP,KI_584,B,
373,AB873966,JP,KI_568,B,
374,AB873967,JP,KI_553,B,
375,AB873968,JP,KI_606,B,
376,AB873969,JP,KI_617,B,
377,AB873970,JP,KI_479,B,
378,AB873971,JP,KI_571,B,
379,AB873972,JP,KI_618,B,
380,AB873973,JP,KI_489,B,
381,AB873974,JP,KI_465,B,
382,AB873975,JP,KI_488,B,
383,AB873976,JP,KI_595,B,
384,AB873977,JP,KI_539,B,
385,AB873978,JP,KI_551,B,
386,AB873979,JP,KI_541,B,
387,AB873980,JP,KI_533,B,
388,AB873981,JP,KI_581,B,
389,AB873982,JP,KI_550,B,
390,AB873983,JP,KI_628,B,
391,AB873984,JP,KI_620,B,
392,AB873985,JP,KI_548,B,
393,AB873986,JP,KI_557,B,
394,AB873987,JP,KI_376,B,
395,AB873988,JP,KI_602,B,
396,AB873989,JP,KI_611,B,
397,AB873990,JP,KI_545,B,
398,AB873991,JP,KI_635,B,
399,AB873992,JP,KI_647,B,
400,AB873993,JP,KI_652,B,
401,AB873994,JP,KI_597,B,
402,AB873995,JP,KI_599,B,
403,AB873996,JP,KI_634,B,
404,AB873997,JP,KI_636,B,
405,AB873998,JP,KI_637,B,
406,AB873999,JP,KI_638,B,
407,AB874000,JP,KI_639,B,
408,AB874001,JP,KI_640,B,
409,AB874002,JP,KI_641,B,
410,AB874003,JP,KI_642,B,
411,AB874004,JP,KI_643,B,
412,AB874005,JP,KI_644,B,
413,AB874006,JP,KI_645,B,
414,AB874007,JP,KI_650,B,
415,AB874008,JP,KI_651,B,
416,AB874009,JP,KI_654,B,
417,AB874010,JP,KI_655,B,
418,AB874011,JP,KI_145,B,
419,AB874012,JP,KI_656,B,
420,AB874013,JP,KI_657,B,
421,AB874014,JP,KI_658,B,
422,AB874015,JP,KI_660,B,
423,AB874016,JP,KI_661,B,
424,AB874017,JP,KI_662,B,
425,AB874018,JP,KI_663,B,
426,AB874019,JP,KI_664,B,
427,AB874020,JP,KI_665,B,
428,AB874021,JP,KI_666,B,
429,AB874022,JP,KI_668,B,
430,AB874023,JP,KI_669,B,
431,AB874024,JP,KI_670,B,
432,AB874025,JP,KI_671,B,
433,AB874026,JP,KI_672,B,
434,AB874027,JP,KI_673,B,
435,AB874028,JP,KI_675,B,
436,AB874029,JP,KI_676,B,
437,AB874030,JP,KI_678,B,
438,AB874031,JP,KI_679,B,
439,AB874032,JP,KI_680,B,
440,AB874033,JP,KI_681,B,
441,AB874034,JP,KI_683,B,
442,AB874035,JP,KI_684,B,
443,AB874036,JP,KI_685,B,
444,AB874037,JP,KI_686,B,
445,AB874038,JP,KI_687,B,
446,AB874039,JP,KI_689,B,
447,AB874040,JP,KI_690,B,
448,AB874041,JP,KI_691,B,
449,AB874042,JP,KI_692,B,
450,AB874043,JP,KI_693,B,
451,AB874044,JP,KI_694,B,
452,AB874045,JP,KI_695,B,
453,AB874046,JP,KI_696,B,
454,AB874047,JP,KI_697,B,
455,AB874048,JP,KI_698,B,
456,AB874049,JP,KI_699,B,
457,AB874050,JP,KI_700,B,
458,AB874051,JP,KI_703,B,
459,AB874052,JP,KI_704,B,
460,AB874053,JP,KI_706,B,
461,AB874054,JP,KI_707,B,
462,AB874055,JP,KI_709,B,
463,AB874056,JP,KI_710,B,
464,AB874057,JP,KI_712,B,
465,AB874058,JP,KI_715,B,
466,AB874059,JP,KI_725,B,
467,AB874060,JP,KI_727,B,
468,AB874061,JP,KI_728,B,
469,AB874062,JP,KI_730,B,
470,AB874063,JP,KI_731,B,
471,AB874064,JP,KI_733,B,
472,AB874065,JP,KI_734,B,
473,AB874066,JP,KI_735,B,
474,AB874067,JP,KI_577,B,
475,AB874068,JP,KI_736,B,
476,AB874069,JP,KI_737,B,
477,AB874070,JP,KI_708,B,
478,AB874071,JP,KI_740,B,
479,AB874072,JP,KI_741,B,
480,AB874073,JP,KI_742,B,
481,AB874074,JP,KI_743,B,
482,AB874075,JP,KI_745,01B,
483,AB874076,JP,KI_746,B,
484,AB874077,JP,KI_747,B,
485,AB874078,JP,KI_474,B,
486,AB874079,JP,KI_749,B,
487,AB874080,JP,KI_750,B,
488,AB874081,JP,KI_752,B,
489,AB874082,JP,KI_056,B,
490,AB874083,JP,KI_753,B,
491,AB874084,JP,KI_757,B,
492,AB874085,JP,KI_758,B,
493,AB874086,JP,KI_759,B,
494,AB874087,JP,KI_760,B,
495,AB874088,JP,KI_761,B,
496,AB874089,JP,KI_762,B,
497,AB874090,JP,KI_763,B,
498,AB874091,JP,KI_764,B,
499,AB874092,JP,KI_765,B,
500,AB874093,JP,KI_767,B,
501,AB874094,JP,KI_768,B,
502,AB874095,JP,KI_769,B,
503,AB874096,JP,KI_770,B,
504,AB874097,JP,KI_771,B,
505,AB874098,JP,KI_772,B,
506,AB874099,JP,KI_773,B,
507,AB874100,JP,KI_191,B,
508,AB874101,JP,KI_774,B,
509,AB874102,JP,KI_775,B,
510,AB874103,JP,KI_776,B,
511,AB874104,JP,KI_478,B,
512,AB874105,JP,KI_777,B,
513,AB874106,JP,KI_739,B,
514,AB874107,JP,KI_778,B,
515,AB874108,JP,KI_780,B,
516,AB874109,JP,KI_781,B,
517,AB874110,JP,KI_782,B,
518,AB874111,JP,KI_783,B,
519,AB874112,JP,KI_158,B,
520,AB874113,JP,KI_785,B,
521,AB874114,JP,KI_786,B,
522,AB874115,JP,KI_787,B,
523,AB874116,JP,KI_788,B,
524,AB874117,JP,KI_789,B,
525,AB874118,JP,KI_790,B,
526,AB874119,JP,KI_791,B,
527,AB874120,JP,KI_793,B,
528,AB874121,JP,KI_794,B,
529,AB874122,JP,KI_795,B,
530,AB874123,JP,KI_796,B,
531,AB874124,JP,KI_797,B,
532,AB874125,JP,KI_803,B,
533,AB874126,JP,KI_806,B,
534,AB874127,JP,KI_809,B,
535,AB874128,JP,KI_810,B,
536,AB874129,JP,KI_723,B,
537,AB874130,JP,KI_811,B,
538,AB874131,JP,KI_813,B,
539,AB874132,JP,KI_814,B,
540,AB874133,JP,KI_815,B,
541,AB874134,JP,KI_818,B,
542,AB874135,JP,KI_820,B,
543,AB874136,JP,KI_826,B,
544,AB874137,JP,KI_827,B,
545,AB874138,JP,KI_831,B,
546,AB874139,JP,KI_832,B,
547,AB874140,JP,KI_833,B,
548,AB874141,JP,KI_816,B,
549,AB874142,JP,KI_817,B,
550,AB874143,JP,KI_819,B,
551,AB874144,JP,KI_821,B,
552,AB874145,JP,KI_822,B,
553,AB874146,JP,KI_823,B,
554,AB874147,JP,KI_475,B,
555,AB874148,JP,KI_824,B,
556,AB874149,JP,KI_825,B,
557,AB874150,JP,KI_829,B,
558,AB874151,JP,KI_830,B,
559,AB874152,JP,KI_834,B,
560,AB874153,JP,KI_835,B,
561,AB874154,JP,KI_836,B,
562,AB874155,JP,KI_839,B,
563,AB874156,JP,KI_842,B,
564,AB874157,JP,KI_843,B,
565,AB874158,JP,KI_844,B,
566,AB874159,JP,KI_845,B,
567,AB874160,JP,KI_846,B,
568,AB874161,JP,KI_848,B,
569,AB874162,JP,KI_851,B,
570,AB874163,JP,KI_852,B,
571,AB874164,JP,KI_853,B,
572,AB874165,JP,KI_855,B,
573,AB874166,JP,KI_856,B,
574,AB874167,JP,KI_857,B,
575,AB874168,JP,KI_859,B,
576,AB874169,JP,KI_861,B,
577,AB874170,JP,KI_862,B,
578,AB874171,JP,KI_863,B,
579,AB874172,JP,KI_864,B,
580,AB874173,JP,KI_865,B,
581,AB874174,JP,KI_866,B,
582,AB874175,JP,KI_867,B,
583,AB874176,JP,KI_841,B,
584,AB874177,JP,KI_868,B,
585,AB874178,JP,KI_869,B,
586,AB874179,JP,KI_870,B,
587,AB874180,JP,KI_872,B,
588,AB874181,JP,KI_873,B,
589,AB874182,JP,KI_874,B,
590,AB874183,JP,KI_876,B,
591,AB874184,JP,KI_878,B,
592,AB874185,JP,KI_881,B,
593,AB874186,JP,KI_882,B,
594,AB874187,JP,KI_885,B,
595,AB874188,JP,KI_888,B,
596,AB874189,JP,KI_889,B,
597,AB874190,JP,KI_890,B,
598,AB874191,JP,KI_891,B,
599,AB874192,JP,KI_879,B,
600,AB874193,JP,KI_756,B,
601,AB874194,JP,KI_892,B,
602,AB874195,JP,KI_893,B,
603,AB874196,JP,KI_894,B,
604,AB874197,JP,KI_895,B,
605,AB874198,JP,KI_896,B,
606,AB874199,JP,KI_897,B,
607,AB874200,JP,KI_898,B,
608,AB874201,JP,KI_904,B,
609,AB874202,JP,KI_905,B,
610,AB874203,JP,KI_906,B,
611,AB874204,JP,KI_907,B,
612,AB874205,JP,KI_908,B,
613,AB874206,JP,KI_909,B,
614,AB874207,JP,KI_911,B,
615,AB874208,JP,KI_912,B,
616,AB874209,JP,KI_913,B,
617,AB874210,JP,KI_915,B,
618,AB874211,JP,KI_916,B,
619,AB874212,JP,KI_918,B,
620,AB874213,JP,KI_923,B,
621,AB874214,JP,KI_924,B,
622,AB874215,JP,KI_917,B,
623,AB874216,JP,KI_927,B,
624,AB874217,JP,KI_920,B,
625,AB874218,JP,KI_921,B,
626,AB874219,JP,KI_922,B,
627,AB874220,JP,KI_925,B,
628,AB874221,JP,KI_928,B,
629,AB874222,JP,KI_930,B,
630,AB874223,JP,KI_850,B,
631,AB874224,JP,KI_933,B,
632,AB874225,JP,KI_937,B,
633,AB874226,JP,KI_938,B,
634,AB874227,JP,KI_939,B,
635,AB874228,JP,KI_941,B,
636,AB874229,JP,KI_942,B,
637,AB874230,JP,KI_944,B,
638,AB874231,JP,KI_945,B,
639,AB874232,JP,KI_946,B,
640,AB874233,JP,KI_947,B,
641,AB874234,JP,KI_871,B,
642,AB874235,JP,KI_949,B,
643,AB874236,JP,KI_950,B,
644,AB874237,JP,KI_951,B,
645,AB874238,JP,KI_952,B,
646,AB874239,JP,KI_953,B,
647,AB874240,JP,KI_564,B,
648,AB874241,JP,KI_954,B,
649,AB874242,JP,KI_955,B,
650,AB874243,JP,KI_957,B,
651,AB874244,JP,KI_960,B,
652,AB874245,JP,KI_961,B,
653,AB874246,JP,KI_962,B,
654,AB874247,JP,KI_963,B,
655,AB874248,JP,KI_965,B,
656,AB874249,JP,KI_966,B,
657,AB874250,JP,KI_967,B,
658,AB874251,JP,KI_970,B,
659,AB874252,JP,KI_972,B,
660,AB874253,JP,KI_973,B,
661,AB874254,JP,KI_840,B,
662,AB874255,JP,KI_858,B,
663,AB874256,JP,KI_929,B,
664,AB874257,JP,KI_975,B,
665,AB874258,JP,KI_977,B,
666,AB874259,JP,KI_980,B,
667,AB874260,JP,KI_985,B,
668,AB874261,JP,KI_986,B,
669,AB874262,JP,KI_988,B,
670,AB874263,JP,KI_989,B,
671,AB874264,JP,KI_990,B,
672,AB874265,JP,KI_993,B,
673,AB874266,JP,KI_996,B,
674,AB874267,JP,KI_997,B,
675,AB874268,JP,KI_1001,B,
676,AB874269,JP,KI_1003,B,
677,AB874270,JP,KI_983,B,
678,AF003887,FR,NL43xWC001,B,1985
679,AF003888,FR,NL43WC001,B,1985
680,AF004394,US,AD87_ADA,B,1986
681,AF004885,KE,Q23_17,A1,1994
682,AF005494,BR,93BR020_1,F1,1993
683,AF005495,BR,93BR029_4,BF1,1993
684,AF005496,CF,056,H,1990
685,AF011754,AU,AP6_4,B,1994
686,AF011755,AU,AP20_6,B,1995
687,AF033819,FR,HXB2_copy_LAI,B,1983
688,AF042100,AU,MBC200,B,1986
689,AF042101,AU,MBC925,B,1987
690,AF042102,AU,MBC18_MBCC18,B,1993
691,AF042103,AU,MBCC54,B,1995
692,AF042104,AU,MBCC98,B,1996
693,AF042105,AU,MBCD36,B,1996
694,AF042106,AU,MBCC18R01_C18R01,B,1993
695,AF049337,CY,94CY032_3,04_cpx,1994
696,AF049494,US,499JC16,B,
697,AF049495,US,NC7,B,
698,AF061640,KE,HH8793_1_1,G,1993
699,AF061641,KE,HH8793_12_1,G,1993
700,AF061642,SE,SE6165_G6165,G,1993
701,AF063223,FR,DJ263,02_AG,1991
702,AF063224,FR,DJ264,02_AG,1991
703,AF064699,AU,BFP90,06_cpx,1996
