2007,2636
2008,1842
2005,1461
2009,1382
2006,1335
2004,757
2010,675
2003,628
2011,368
2002,351
1999,345
2000,273
1997,222
1996,222
2001,202
1998,164
1990,156
1995,146
2014,113
2013,103
2012,87
1992,83
1993,73
1983,53
1991,51
1994,49
1989,46
1985,29
1986,26
1984,9
1987,5
1988,4
1982,1
1976,1
